# Velocity dispersion profile sent by Gary A. Mamon, 2012 May 28
# Columns:
#	1  R/r_s
#	2&3:  sigma_LOS / sqrt[GM(r_s)/r_s]
#	  2:  isotropic orbits
#	  3:  progressively more radial orbits, beta=r/2/(r+r_s)  (Mamon, Biviano & Murante 2010)
 0.100  0.625   0.700
 0.126  0.638   0.714
 0.158  0.650   0.727
 0.200  0.661   0.737
 0.251  0.670   0.745
 0.316  0.677   0.750
 0.398  0.682   0.751
 0.501  0.684   0.748
 0.631  0.682   0.740
 0.794  0.678   0.728
 1.000  0.669   0.712
 1.259  0.658   0.691
 1.585  0.642   0.667
 1.995  0.624   0.640
 2.512  0.603   0.611
 3.162  0.579   0.581
 3.981  0.554   0.549
 5.012  0.527   0.518
 6.310  0.499   0.486
 7.943  0.471   0.455
10.000  0.442   0.425
